esmini GIT REV: v3.0.1-0-edd82328
esmini GIT TAG: v3.0.1
esmini GIT BRANCH: tags/v3.0.1^0
esmini BUILD VERSION: 6063
Scenario File Name: scenario_0a4a0f42.xosc
Number of Vehicles: 6
Index [-], TimeStamp [s], #1 Entity_Name [-], #1 Entity_ID [-], #1 Current_Speed [m/s], #1 Wheel_Angle [deg], #1 Wheel_Rotation [-], #1 bb_x [m], #1 bb_y [m], #1 bb_z [m], #1 bb_length [m], #1 bb_width [m], #1 bb_height [m], #1 World_Position_X [m], #1 World_Position_Y [m], #1 World_Position_Z [m], #1 Vel_X [m/s], #1 Vel_Y [m/s], #1 Vel_Z [m/s], #1 Acc_X [m/s2], #1 Acc_Y [m/s2], #1 Acc_Z [m/s2], #1 Distance_Travelled_Along_Road_Segment [m], #1 Lateral_Distance_Lanem [m], #1 lane_id, #1 lane_offset[m], #1 World_Heading_Angle [rad], #1 Heading_Angle_Rate [rad/s], #1 Relative_Heading_Angle [rad], #1 Relative_Heading_Angle_Drive_Direction [rad], #1 World_Pitch_Angle [rad], #1 Road_Curvature [1/m], #1 collision_ids, #2 Entity_Name [-], #2 Entity_ID [-],#2 Current_Speed [m/s], #2 Wheel_Angle [deg], #2 Wheel_Rotation [-],#2 bb_x [m], #2 bb_y [m], #2 bb_z [m], #2 bb_length [m], #2 bb_width [m], #2 bb_height [m], #2 World_Position_X [m], #2 World_Position_Y [m], #2 World_Position_Z [m], #2 Vel_X [m/s], #2 Vel_Y [m/s], #2 Vel_Z [m/s], #2 Acc_X [m/s2], #2 Acc_Y [m/s2], #2 Acc_Z [m/s2], #2 Distance_Travelled_Along_Road_Segment [m], #2 Lateral_Distance_Lanem [m], #2 lane_id, #2 lane_offset [m], #2 World_Heading_Angle [rad], #2 Heading_Angle_Rate [rad/s], #2 Relative_Heading_Angle [rad], #2 Relative_Heading_Angle_Drive_Direction [rad], #2 World_Pitch_Angle [rad], #2 Road_Curvature [1/m], #2 collision_ids, #3 Entity_Name [-], #3 Entity_ID [-],#3 Current_Speed [m/s], #3 Wheel_Angle [deg], #3 Wheel_Rotation [-],#3 bb_x [m], #3 bb_y [m], #3 bb_z [m], #3 bb_length [m], #3 bb_width [m], #3 bb_height [m], #3 World_Position_X [m], #3 World_Position_Y [m], #3 World_Position_Z [m], #3 Vel_X [m/s], #3 Vel_Y [m/s], #3 Vel_Z [m/s], #3 Acc_X [m/s2], #3 Acc_Y [m/s2], #3 Acc_Z [m/s2], #3 Distance_Travelled_Along_Road_Segment [m], #3 Lateral_Distance_Lanem [m], #3 lane_id, #3 lane_offset [m], #3 World_Heading_Angle [rad], #3 Heading_Angle_Rate [rad/s], #3 Relative_Heading_Angle [rad], #3 Relative_Heading_Angle_Drive_Direction [rad], #3 World_Pitch_Angle [rad], #3 Road_Curvature [1/m], #3 collision_ids, #4 Entity_Name [-], #4 Entity_ID [-],#4 Current_Speed [m/s], #4 Wheel_Angle [deg], #4 Wheel_Rotation [-],#4 bb_x [m], #4 bb_y [m], #4 bb_z [m], #4 bb_length [m], #4 bb_width [m], #4 bb_height [m], #4 World_Position_X [m], #4 World_Position_Y [m], #4 World_Position_Z [m], #4 Vel_X [m/s], #4 Vel_Y [m/s], #4 Vel_Z [m/s], #4 Acc_X [m/s2], #4 Acc_Y [m/s2], #4 Acc_Z [m/s2], #4 Distance_Travelled_Along_Road_Segment [m], #4 Lateral_Distance_Lanem [m], #4 lane_id, #4 lane_offset [m], #4 World_Heading_Angle [rad], #4 Heading_Angle_Rate [rad/s], #4 Relative_Heading_Angle [rad], #4 Relative_Heading_Angle_Drive_Direction [rad], #4 World_Pitch_Angle [rad], #4 Road_Curvature [1/m], #4 collision_ids, #5 Entity_Name [-], #5 Entity_ID [-],#5 Current_Speed [m/s], #5 Wheel_Angle [deg], #5 Wheel_Rotation [-],#5 bb_x [m], #5 bb_y [m], #5 bb_z [m], #5 bb_length [m], #5 bb_width [m], #5 bb_height [m], #5 World_Position_X [m], #5 World_Position_Y [m], #5 World_Position_Z [m], #5 Vel_X [m/s], #5 Vel_Y [m/s], #5 Vel_Z [m/s], #5 Acc_X [m/s2], #5 Acc_Y [m/s2], #5 Acc_Z [m/s2], #5 Distance_Travelled_Along_Road_Segment [m], #5 Lateral_Distance_Lanem [m], #5 lane_id, #5 lane_offset [m], #5 World_Heading_Angle [rad], #5 Heading_Angle_Rate [rad/s], #5 Relative_Heading_Angle [rad], #5 Relative_Heading_Angle_Drive_Direction [rad], #5 World_Pitch_Angle [rad], #5 Road_Curvature [1/m], #5 collision_ids, #6 Entity_Name [-], #6 Entity_ID [-],#6 Current_Speed [m/s], #6 Wheel_Angle [deg], #6 Wheel_Rotation [-],#6 bb_x [m], #6 bb_y [m], #6 bb_z [m], #6 bb_length [m], #6 bb_width [m], #6 bb_height [m], #6 World_Position_X [m], #6 World_Position_Y [m], #6 World_Position_Z [m], #6 Vel_X [m/s], #6 Vel_Y [m/s], #6 Vel_Z [m/s], #6 Acc_X [m/s2], #6 Acc_Y [m/s2], #6 Acc_Z [m/s2], #6 Distance_Travelled_Along_Road_Segment [m], #6 Lateral_Distance_Lanem [m], #6 lane_id, #6 lane_offset [m], #6 World_Heading_Angle [rad], #6 Heading_Angle_Rate [rad/s], #6 Relative_Heading_Angle [rad], #6 Relative_Heading_Angle_Drive_Direction [rad], #6 World_Pitch_Angle [rad], #6 Road_Curvature [1/m], #6 collision_ids, 
0, 0.000000, Ego, 0, 0.000000, 0.000000, 0.000000, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A1, 1, 23.990000, 0.000000, 0.000000, 1.500000, 0.000000, 0.900000, 17.580000, 2.500000, 1.800000, 146.000000, -13.155000, 0.000000, 23.990000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2146.000000, -13.155000, -4, -0.275000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A2, 2, 21.650000, 0.000000, 0.000000, 1.500000, 0.000000, 0.900000, 17.379999, 2.500000, 1.800000, 38.640000, -12.965000, 0.000000, 21.650000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2038.640000, -12.965000, -4, -0.085000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A3, 3, 29.530000, 0.000000, 0.000000, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 31.825000, -8.605000, 0.000000, 29.528940, 0.250245, 0.000000, 0.000000, 0.000000, 0.000000, 2031.825000, -8.605000, -3, 0.300000, 0.008474, 0.000000, 0.008474, 0.008474, 0.000000, 0.000000, , A4, 4, 34.170000, 0.000000, 0.000000, 1.500000, 0.000000, 0.900000, 4.950000, 1.920000, 1.800000, -43.890200, -8.465000, 0.000000, 34.170000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1956.109800, -8.465000, -3, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A5, 5, 37.300000, 0.000000, 0.000000, 1.500000, 0.000000, 0.900000, 5.560000, 2.020000, 1.800000, -65.990000, -5.165000, 0.000000, 37.300000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1934.010000, -5.165000, -2, -0.280000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
1, 0.001000, Ego, 0, 0.000000, 0.000000, 0.000000, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A1, 1, 23.990000, 0.000000, 0.068543, 1.500000, 0.000000, 0.900000, 17.580000, 2.500000, 1.800000, 146.023990, -13.155000, 0.000000, 23.990000, -0.000000, 0.000000, 0.000000, -0.000007, 0.000000, 2146.023990, -13.155000, -4, -0.275000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A2, 2, 21.650000, 0.000000, 0.061857, 1.500000, 0.000000, 0.900000, 17.379999, 2.500000, 1.800000, 38.661650, -12.965000, 0.000000, 21.650000, -0.000000, 0.000000, -0.000000, -0.000006, 0.000000, 2038.661650, -12.965000, -4, -0.085000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A3, 3, 29.530000, 0.000000, 0.084371, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 31.854530, -8.605000, 0.000000, 29.530000, -0.000000, 0.000000, 1.060342, -250.245256, 0.000000, 2031.854530, -8.605000, -3, 0.300000, 0.008474, 0.000000, 0.008474, 0.008474, 0.000000, 0.000000, , A4, 4, 34.170000, 0.000000, 0.097629, 1.500000, 0.000000, 0.900000, 4.950000, 1.920000, 1.800000, -43.856030, -8.465000, 0.000000, 34.170000, -0.000000, 0.000000, -0.000000, -0.000004, 0.000000, 1956.143970, -8.465000, -3, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A5, 5, 37.300000, 0.000000, 0.106571, 1.500000, 0.000000, 0.900000, 5.560000, 2.020000, 1.800000, -65.952700, -5.165000, 0.000000, 37.300000, -0.000000, 0.000000, 0.000000, -0.000003, 0.000000, 1934.047300, -5.165000, -2, -0.280000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
2, 0.002062, Ego, 0, 59.763051, 0.000000, 0.181338, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 7.858468, -9.365000, 0.000000, 7399.687721, -8818.267420, 0.000000, 6967690.886328, -8303453.314465, 0.000000, 2007.858468, -9.365000, -3, -0.460000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A1, 1, 23.990000, 0.000000, 0.141335, 1.500000, 0.000000, 0.900000, 17.580000, 2.500000, 1.800000, 146.049467, -13.155000, 0.000000, 23.990000, 0.000000, 0.000000, 0.000000, 0.000006, 0.000000, 2146.049467, -13.155000, -4, -0.275000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A2, 2, 21.650000, 0.000000, 0.127549, 1.500000, 0.000000, 0.900000, 17.379999, 2.500000, 1.800000, 38.684642, -12.965000, 0.000000, 21.650000, 0.000000, 0.000000, 0.000000, 0.000006, 0.000000, 2038.684642, -12.965000, -4, -0.085000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A3, 3, 29.530000, 0.000000, 0.173974, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 31.885891, -8.605000, 0.000000, 29.530000, 0.000000, 0.000000, 0.000000, 0.000004, 0.000000, 2031.885891, -8.605000, -3, 0.300000, 0.008474, 0.000000, 0.008474, 0.008474, 0.000000, 0.000000, , A4, 4, 34.170000, 0.000000, 0.201310, 1.500000, 0.000000, 0.900000, 4.950000, 1.920000, 1.800000, -43.819741, -8.465000, 0.000000, 34.170000, 0.000000, 0.000000, 0.000000, 0.000004, 0.000000, 1956.180259, -8.465000, -3, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A5, 5, 37.300000, 0.000000, 0.219750, 1.500000, 0.000000, 0.900000, 5.560000, 2.020000, 1.800000, -65.913087, -5.165000, 0.000000, 37.300000, 0.000000, 0.000000, -0.000000, 0.000002, 0.000000, 1934.086913, -5.165000, -2, -0.280000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
3, 0.003125, Ego, 0, 30.780000, 0.000000, 0.274821, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 7.891188, -9.365000, 0.000000, 30.780000, 0.000000, 0.000000, -6932180.358684, 8295641.975505, 0.000000, 2007.891187, -9.365000, -3, -0.460000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A1, 1, 23.990000, 0.000000, 0.214196, 1.500000, 0.000000, 0.900000, 17.580000, 2.500000, 1.800000, 146.074969, -13.155000, 0.000000, 23.990000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 2146.074969, -13.155000, -4, -0.275000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A2, 2, 21.650000, 0.000000, 0.193304, 1.500000, 0.000000, 0.900000, 17.379999, 2.500000, 1.800000, 38.707656, -12.965000, 0.000000, 21.650000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2038.707656, -12.965000, -4, -0.085000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A3, 3, 29.530000, 0.000000, 0.263661, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 31.917281, -8.605000, 0.000000, 29.530000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2031.917281, -8.605000, -3, 0.300000, 0.008474, 0.000000, 0.008474, 0.008474, 0.000000, 0.000000, , A4, 4, 34.170000, 0.000000, 0.305089, 1.500000, 0.000000, 0.900000, 4.950000, 1.920000, 1.800000, -43.783419, -8.465000, 0.000000, 34.170000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 1956.216581, -8.465000, -3, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A5, 5, 37.300000, 0.000000, 0.333036, 1.500000, 0.000000, 0.900000, 5.560000, 2.020000, 1.800000, -65.873437, -5.165000, 0.000000, 37.300000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1934.126563, -5.165000, -2, -0.280000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
4, 0.004184, Ego, 0, 30.780000, 0.000000, 0.367953, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 7.923784, -9.365000, 0.000000, 30.780000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2007.923784, -9.365000, -3, -0.460000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A1, 1, 23.990000, 0.000000, 0.286783, 1.500000, 0.000000, 0.900000, 17.580000, 2.500000, 1.800000, 146.100374, -13.155000, 0.000000, 23.990000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2146.100374, -13.155000, -4, -0.275000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A2, 2, 21.650000, 0.000000, 0.258810, 1.500000, 0.000000, 0.900000, 17.379999, 2.500000, 1.800000, 38.730584, -12.965000, 0.000000, 21.650000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 2038.730584, -12.965000, -4, -0.085000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A3, 3, 29.530000, 0.000000, 0.353010, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 31.948554, -8.605000, 0.000000, 29.530000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 2031.948554, -8.605000, -3, 0.300000, 0.008474, 0.000000, 0.008474, 0.008474, 0.000000, 0.000000, , A4, 4, 34.170000, 0.000000, 0.408478, 1.500000, 0.000000, 0.900000, 4.950000, 1.920000, 1.800000, -43.747233, -8.465000, 0.000000, 34.170000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1956.252767, -8.465000, -3, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A5, 5, 37.300000, 0.000000, 0.445895, 1.500000, 0.000000, 0.900000, 5.560000, 2.020000, 1.800000, -65.833937, -5.165000, 0.000000, 37.300000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 1934.166063, -5.165000, -2, -0.280000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
5, 0.005243, Ego, 0, 30.780000, 0.000000, 0.461084, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 7.956380, -9.365000, 0.000000, 30.780000, -0.000000, 0.000000, -0.000000, -0.000000, 0.000000, 2007.956380, -9.365000, -3, -0.460000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A1, 1, 23.990000, 0.000000, 0.359370, 1.500000, 0.000000, 0.900000, 17.580000, 2.500000, 1.800000, 146.125780, -13.155000, 0.000000, 23.990000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2146.125780, -13.155000, -4, -0.275000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A2, 2, 21.650000, 0.000000, 0.324317, 1.500000, 0.000000, 0.900000, 17.379999, 2.500000, 1.800000, 38.753511, -12.965000, 0.000000, 21.650000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2038.753511, -12.965000, -4, -0.085000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A3, 3, 29.530000, 0.000000, 0.442359, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 31.979826, -8.605000, 0.000000, 29.530000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2031.979826, -8.605000, -3, 0.300000, 0.008474, 0.000000, 0.008474, 0.008474, 0.000000, 0.000000, , A4, 4, 34.170000, 0.000000, 0.511867, 1.500000, 0.000000, 0.900000, 4.950000, 1.920000, 1.800000, -43.711047, -8.465000, 0.000000, 34.170000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1956.288953, -8.465000, -3, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A5, 5, 37.300000, 0.000000, 0.558754, 1.500000, 0.000000, 0.900000, 5.560000, 2.020000, 1.800000, -65.794436, -5.165000, 0.000000, 37.300000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1934.205564, -5.165000, -2, -0.280000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
6, 0.006305, Ego, 0, 30.780000, 0.000000, 0.554480, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 7.989068, -9.365000, 0.000000, 30.780000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2007.989068, -9.365000, -3, -0.460000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A1, 1, 23.990000, 0.000000, 0.432163, 1.500000, 0.000000, 0.900000, 17.580000, 2.500000, 1.800000, 146.151257, -13.155000, 0.000000, 23.990000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2146.151257, -13.155000, -4, -0.275000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A2, 2, 21.650000, 0.000000, 0.390009, 1.500000, 0.000000, 0.900000, 17.379999, 2.500000, 1.800000, 38.776503, -12.965000, 0.000000, 21.650000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2038.776503, -12.965000, -4, -0.085000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A3, 3, 29.530000, 0.000000, 0.531962, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 32.011187, -8.605000, 0.000000, 29.530000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 2032.011187, -8.605000, -3, 0.300000, 0.008474, 0.000000, 0.008474, 0.008474, 0.000000, 0.000000, , A4, 4, 34.170000, 0.000000, 0.615548, 1.500000, 0.000000, 0.900000, 4.950000, 1.920000, 1.800000, -43.674758, -8.465000, 0.000000, 34.170000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1956.325242, -8.465000, -3, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A5, 5, 37.300000, 0.000000, 0.671933, 1.500000, 0.000000, 0.900000, 5.560000, 2.020000, 1.800000, -65.754823, -5.165000, 0.000000, 37.300000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1934.245177, -5.165000, -2, -0.280000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
7, 0.007361, Ego, 0, 30.780000, 0.000000, 0.647347, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 8.021572, -9.365000, 0.000000, 30.780000, 0.000000, 0.000000, -0.000000, -0.000000, 0.000000, 2008.021572, -9.365000, -3, -0.460000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A1, 1, 23.990000, 0.000000, 0.504544, 1.500000, 0.000000, 0.900000, 17.580000, 2.500000, 1.800000, 146.176590, -13.155000, 0.000000, 23.990000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 2146.176590, -13.155000, -4, -0.275000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A2, 2, 21.650000, 0.000000, 0.455330, 1.500000, 0.000000, 0.900000, 17.379999, 2.500000, 1.800000, 38.799366, -12.965000, 0.000000, 21.650000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 2038.799366, -12.965000, -4, -0.085000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A3, 3, 29.530000, 0.000000, 0.621058, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 32.042370, -8.605000, 0.000000, 29.530000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 2032.042370, -8.605000, -3, 0.300000, 0.008474, 0.000000, 0.008474, 0.008474, 0.000000, 0.000000, , A4, 4, 34.170000, 0.000000, 0.718644, 1.500000, 0.000000, 0.900000, 4.950000, 1.920000, 1.800000, -43.638675, -8.465000, 0.000000, 34.170000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 1956.361325, -8.465000, -3, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A5, 5, 37.300000, 0.000000, 0.784472, 1.500000, 0.000000, 0.900000, 5.560000, 2.020000, 1.800000, -65.715435, -5.165000, 0.000000, 37.300000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1934.284565, -5.165000, -2, -0.280000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
8, 0.008419, Ego, 0, 30.780000, 0.000000, 0.740391, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 8.054137, -9.365000, 0.000000, 30.780000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2008.054137, -9.365000, -3, -0.460000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A1, 1, 23.990000, 0.000000, 0.577062, 1.500000, 0.000000, 0.900000, 17.580000, 2.500000, 1.800000, 146.201972, -13.155000, 0.000000, 23.990000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2146.201972, -13.155000, -4, -0.275000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A2, 2, 21.650000, 0.000000, 0.520775, 1.500000, 0.000000, 0.900000, 17.379999, 2.500000, 1.800000, 38.822271, -12.965000, 0.000000, 21.650000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2038.822271, -12.965000, -4, -0.085000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A3, 3, 29.530000, 0.000000, 0.710323, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 32.073613, -8.605000, 0.000000, 29.530000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2032.073613, -8.605000, -3, 0.300000, 0.008474, 0.000000, 0.008474, 0.008474, 0.000000, 0.000000, , A4, 4, 34.170000, 0.000000, 0.821935, 1.500000, 0.000000, 0.900000, 4.950000, 1.920000, 1.800000, -43.602523, -8.465000, 0.000000, 34.170000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1956.397477, -8.465000, -3, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A5, 5, 37.300000, 0.000000, 0.897225, 1.500000, 0.000000, 0.900000, 5.560000, 2.020000, 1.800000, -65.675971, -5.165000, 0.000000, 37.300000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 1934.324029, -5.165000, -2, -0.280000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
9, 0.009479, Ego, 0, 30.780000, 0.000000, 0.833610, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 8.086764, -9.365000, 0.000000, 30.780000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 2008.086764, -9.365000, -3, -0.460000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A1, 1, 23.990000, 0.000000, 0.649718, 1.500000, 0.000000, 0.900000, 17.580000, 2.500000, 1.800000, 146.227401, -13.155000, 0.000000, 23.990000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2146.227401, -13.155000, -4, -0.275000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A2, 2, 21.650000, 0.000000, 0.586344, 1.500000, 0.000000, 0.900000, 17.379999, 2.500000, 1.800000, 38.845220, -12.965000, 0.000000, 21.650000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2038.845220, -12.965000, -4, -0.085000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A3, 3, 29.530000, 0.000000, 0.799757, 1.500000, 0.000000, 0.900000, 5.050000, 1.820000, 1.800000, 32.104915, -8.605000, 0.000000, 29.530000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2032.104915, -8.605000, -3, 0.300000, 0.008474, 0.000000, 0.008474, 0.008474, 0.000000, 0.000000, , A4, 4, 34.170000, 0.000000, 0.925421, 1.500000, 0.000000, 0.900000, 4.950000, 1.920000, 1.800000, -43.566303, -8.465000, 0.000000, 34.170000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 1956.433697, -8.465000, -3, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , A5, 5, 37.300000, 0.000000, 1.010191, 1.500000, 0.000000, 0.900000, 5.560000, 2.020000, 1.800000, -65.636433, -5.165000, 0.000000, 37.300000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1934.363567, -5.165000, -2, -0.280000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
