source,article,content,road_tag_code,infr_tag_code,man_tag_code,env_tag_code,commands,prohibitions
中华人民共和国道路交通安全法,26.1,交通信号灯由红灯、绿灯、黄灯组成。红灯表示禁止通行。,/root,/root/基础设施/有交通信号灯/红灯,/root,/root,,通行
中华人民共和国道路交通安全法,26.2,交通信号灯由红灯、绿灯、黄灯组成。绿灯表示准许通行。,/root,/root/基础设施/有交通信号灯/绿灯,/root,/root,,
中华人民共和国道路交通安全法,26.3,交通信号灯由红灯、绿灯、黄灯组成。黄灯表示警示。,/root,/root/基础设施/有交通信号灯/黄灯,/root,/root,,
中华人民共和国道路交通安全法,35,机动车、非机动车实行右侧通行。,/root/道路/双向通行,/root,/root,/root,右侧通行,
中华人民共和国道路交通安全法,36.1,根据道路条件和通行需要，道路划分为机动车道、非机动车道和人行道的，机动车、非机动车、行人实行分道通行。,/root/道路/机动车道;/root/道路/人行道;/root/道路/非机动车道,/root,/root,/root,道路划分为机动车道、非机动车道和人行道时，机动车、非机动车、行人实行分道通行,
中华人民共和国道路交通安全法,36.2,没有划分机动车道、非机动车道和人行道的，机动车在道路中间通行，非机动车和行人在道路两侧通行。,/root/道路/没有划分车道类型,/root,/root,/root,没有划分机动车道、非机动车道和人行道时，机动车在道路中间通行，非机动车和行人在道路两侧通行,
中华人民共和国道路交通安全法,37,道路划设专用车道的，在专用车道内，只准许规定的车辆通行，其他车辆不得进入专用车道内行驶。,/root/道路/有车道专属权,/root,/root,/root,,其他车辆进入专用车道内行驶
中华人民共和国道路交通安全法,38.1,车辆、行人应当按照交通信号通行。,/root,/root/基础设施/有交通信号灯,/root,/root,按照交通信号通行,
中华人民共和国道路交通安全法,38.2,遇有交通警察现场指挥时，应当按照交通警察的指挥通行。,/root,/root,/root/交通管理/交通警察指挥,/root,按照交通警察的指挥通行,
中华人民共和国道路交通安全法,38.3,在没有交通信号的道路上，应当在确保安全、畅通的原则下通行。,/root/道路,/root/基础设施/无交通信号灯,/root,/root,在确保安全、畅通的原则下通行,
